PCA_Component_1,PCA_Component_2,kategori
-0.0493651587630414,-0.0558845125582832,Sport
-0.0612224496224019,-0.108368790899449,Sport
-0.042975808803691,-0.123068130874872,Sport
-0.0523933257304709,-0.151563853446025,Sport
-0.0414533970478478,-0.0236280787131048,Sport
0.485517848337267,0.085107260470851,Sport
-0.0690454261843315,-0.232893461777433,Sport
-0.0190992787838245,-0.0530840053113029,Sport
-0.0697538091857687,-0.237222659574352,Sport
-0.0196242362186374,-0.147630843723393,Sport
-0.042337614740724,-0.0553555084472729,Sport
-0.0418324503374807,-0.132990881323895,Sport
0.17861553213951,0.00229648590975601,Sport
-0.0716004574866054,-0.232615881632363,Sport
0.360243148220968,0.0551218110521411,Sport
-0.0347025651956113,-0.070289914157453,Sport
0.188855631591938,0.0172542447704825,Sport
-0.120434581285723,-0.02137891597895,Sport
-0.0674581234434438,-0.144773826649389,Sport
-0.0958635822943738,0.0100713193626064,Sport
-0.100404415515573,-0.0789982970847221,Sport
-0.0240538624933893,0.00850672286981911,Sport
-0.0330357851907284,-0.0691902912240086,Sport
0.428839596978805,0.0687488995170763,Sport
-0.00455532883160631,-0.0951375880371182,Sport
-0.0669444720761296,-0.291196177868052,Sport
-0.0191969961771822,-0.20538021802022,Sport
-0.0549787220977651,-0.170622499305783,Sport
0.347418583172628,0.0611442687072463,Sport
-0.0803683604964633,-0.11905445884531,Sport
-0.0225755175464758,-0.0494031891558668,Sport
-0.0964653195324677,-0.206121449140772,Sport
0.517163602298061,0.10565666806976,Sport
0.397122780986861,0.0864885801221741,Sport
0.403210071588113,0.0741324390969809,Sport
0.490441809915585,0.0993900781697695,Sport
0.0132742026174968,-0.0810065752503346,Sport
0.362240414535284,0.0669940754010634,Sport
-0.0541714523779984,-0.122547961128031,Sport
0.00990261331988484,-0.107235227870002,Sport
0.049067035852218,-0.0196628293165145,Sport
-0.05038062641941,-0.183266540615148,Sport
0.562720799165693,0.126224232144693,Sport
0.64452063553985,0.155121424139764,Sport
0.528427129489564,0.118745797201334,Sport
0.509781477106789,0.143573983833939,Sport
0.629655616348512,0.184653068363659,Sport
0.654832722941599,0.191961302313844,Sport
0.594041342197504,0.170152926430375,Sport
0.301267431191551,0.03244447853672,Sport
-0.0796148348120891,-0.198989480602839,Sport
0.193629330374764,0.0202848623711645,Sport
0.0960658718438515,-0.0668754195898895,Sport
0.104526353872626,-0.0336447766091403,Sport
-0.00405257456778931,-0.0788491843153962,Sport
0.028603026127948,-0.0822903679354146,Sport
-0.0473777063122989,-0.15269135754252,Sport
0.0171546530633646,-0.140108481763024,Sport
0.00307213118237584,-0.0603187781072096,Sport
-0.0411947139812608,-0.0814148845364144,Sport
0.129749135313232,-0.0210344282737917,Sport
0.558717620614958,0.131437851688431,Sport
0.583786408884101,0.167105965205872,Sport
0.149412112188987,0.00817731020333605,Sport
0.487016829399244,0.127734992211962,Sport
0.490655254513461,0.109304173035157,Sport
0.18224828921435,0.00877281414224782,Sport
0.375511895230598,0.0421787061918937,Sport
0.238987588034152,-0.00168300961652722,Sport
-0.0324021404974224,-0.121471226854474,Sport
0.234391318895586,0.0278503520113903,Sport
0.0197053977920115,-0.0687473733365284,Sport
-0.0662468468717095,-0.0939436524021981,Sport
-0.029997732978313,-0.140421121494332,Sport
0.0132117433394911,-0.135055775818231,Sport
0.500233936190901,0.134864570819296,Sport
0.0361553501217625,-0.121414418880787,Sport
0.374883360508714,0.0899600581398436,Sport
-0.0504195375833788,-0.215519933907207,Sport
-0.0984583718602359,-0.177525435181382,Sport
0.184504156010536,-0.00267793170963456,Sport
-0.0050030632014068,-0.0181598719982839,Sport
0.351210294477835,0.0444885684218742,Sport
-0.0438126187333465,-0.0764678968039678,Sport
-0.0622814787451538,-0.156094837365677,Sport
0.185585493446458,0.00235078354079023,Sport
-0.0037858979915223,-0.148210384412004,Sport
-0.0491396077389567,-0.0918743555368554,Sport
-0.0549541750086324,-0.227916900244645,Sport
0.0313146963868484,-0.109907789860399,Sport
-0.0963964891581692,-0.124677382917299,Sport
-0.0639540498727393,-0.221344229590399,Sport
-0.0641290303068145,-0.194481451552464,Sport
-0.0679050798458981,-0.192315439054602,Sport
-0.0435914716617624,-0.139953725774632,Sport
-0.0676439011542944,-0.149291414216059,Sport
-0.0559134174574437,-0.228561102778229,Sport
0.0175175229812177,-0.103647687365509,Sport
-0.0437339640620102,-0.141717632630682,Sport
-0.0562800203795755,-0.0930607805440088,Sport
-0.0376797030875151,-0.0455500369078819,Finance
-0.0749732875919201,-0.0432496580692309,Finance
-0.080161762494215,-0.0552585989544115,Finance
-0.290245852105833,0.716174360013055,Finance
-0.205062843817121,0.0203768749403556,Finance
